gene_cell_id,gene_id,legend,label,origin,value,category,unit
34,1,"Breast, female reproductive system",EFO-21,Ascites,25.2,"Cancer cell line",TPM
35,1,"Breast, female reproductive system",HeLa,Cervix,15.2,"Cancer cell line",TPM
36,1,"Breast, female reproductive system",hTERT-HME1,"Mammary gland",10.2,"Telomerase immortalized cell line",TPM
37,1,"Breast, female reproductive system",MCF7,"Pleural effusion",14.8,"Cancer cell line",TPM
38,1,"Breast, female reproductive system",SiHa,Cervix,37.4,"Cancer cell line",TPM
39,1,"Breast, female reproductive system",SK-BR-3,"Pleural effusion",28.5,"Cancer cell line",TPM
40,1,"Breast, female reproductive system",T-47d,NA,17.5,"Cancer cell line",TPM
41,1,"Renal, urinary, male reproductive system","HEK 293","Embryonal kidney",21.7,"Transformed cell line",TPM
42,1,"Renal, urinary, male reproductive system",NTERA-2,,12.8,"Cancer cell line",TPM
43,1,"Renal, urinary, male reproductive system",PC-3,"Bone marrow"," 9.0","Cancer cell line",TPM
44,1,"Renal, urinary, male reproductive system","RPTEC TERT1","Human kidney cortex",34.1,"Telomerase immortalized cell line",TPM
45,1,"Renal, urinary, male reproductive system",RT4,"Urinary bladder",17.9,"Cancer cell line",TPM
46,1,Sarcoma,"ASC diff","Adipose tissue",13.1,Uncategorised,TPM
47,1,Sarcoma,"ASC TERT1","Adipose tissue",12.2,"Telomerase immortalized cell line",TPM
48,1,Sarcoma,LHCN-M2,NA,30.6,"Telomerase immortalized cell line",TPM
49,1,Sarcoma,RH-30,"Bone marrow ",40.9,"Cancer cell line",TPM
50,1,Sarcoma,"U-2 OS",Bone,15.5,"Cancer cell line",TPM
51,1,Sarcoma,U-2197,Subcutis,39.8,"Cancer cell line",TPM
52,1,Fibroblast,BJ,Foreskin,26.3,"Finite cell line",TPM
53,1,Fibroblast,"BJ hTERT+",Foreskin,10.2,"Telomerase immortalized cell line",TPM
54,1,Fibroblast,"BJ hTERT+ SV40 Large T+",Foreskin,26.1,Uncategorised,TPM
55,1,Fibroblast,"BJ hTERT+ SV40 Large T+ RasG12V",Foreskin,32.6,Uncategorised,TPM
56,1,Fibroblast,fHDF/TERT166,Foreskin,17.2,"Telomerase immortalized cell line",TPM
57,1,Fibroblast,"HBF TERT88",Brain,22.9,"Telomerase immortalized cell line",TPM
58,1,Endothelial,hTEC/SVTERT24-B,Thyroid,23.5,"Transformed cell line",TPM
59,1,Endothelial,"HUVEC TERT2","Umbilical vein",17.3,"Telomerase immortalized cell line",TPM
60,1,Endothelial,TIME,Skin,23.9,"Telomerase immortalized cell line",TPM
61,1,Miscellaneous,BEWO,Brain,19.6,"Cancer cell line",TPM
62,1,Miscellaneous,HHSteC,Liver,18.5,Uncategorised,TPM
63,1,Miscellaneous,HSkMC,"Trapezius and erector spinae muscles",12.3,Uncategorised,TPM
64,1,Miscellaneous,hTCEpi,Cornea,12.9,"Telomerase immortalized cell line",TPM
65,2,Brain,AF22,Skin," 23.9",Uncategorised,TPM
66,2,Brain,SH-SY5Y,"Bone marrow"," 69.6","Cancer cell line",TPM
67,2,Brain,"U-138 MG",Brain,117.4,"Cancer cell line",TPM
68,2,Brain,"U-251 MG",Brain," 51.4","Cancer cell line",TPM
69,2,Brain,"U-87 MG",Brain," 67.3","Cancer cell line",TPM
70,2,Skin,A-431,Skin," 62.1","Cancer cell line",TPM
71,2,Skin,HaCaT,Skin," 42.4","Spontaneously immortalized cell line",TPM
72,2,Skin,SK-MEL-30,Subcutis," 29.9","Cancer cell line",TPM
73,2,Skin,WM-115,Skin," 57.1","Cancer cell line",TPM
74,2,Myeloid,HAP1,Leukemia," 43.6","Cancer cell line",TPM
75,2,Myeloid,HEL,"Peripheral blood"," 15.3","Cancer cell line",TPM
76,2,Myeloid,HL-60,"Peripheral blood"," 11.9","Cancer cell line",TPM
77,2,Myeloid,HMC-1,"Peripheral blood"," 23.6","Cancer cell line",TPM
78,2,Myeloid,K-562,"Pleural effusion"," 51.1","Cancer cell line",TPM
79,2,Myeloid,NB-4,"Bone marrow"," 23.4","Cancer cell line",TPM
80,2,Myeloid,THP-1,"Peripheral blood"," 19.6","Cancer cell line",TPM
81,2,Myeloid,U-937,"Pleural effusion"," 21.3","Cancer cell line",TPM
82,2,Lymphoid,Daudi,"Orbital biopsy"," 10.1","Cancer cell line",TPM
83,2,Lymphoid,HDLM-2,"Pleural effusion"," 29.8","Cancer cell line",TPM
84,2,Lymphoid,Karpas-707,"Bone marrow and peripheral blood"," 13.1","Cancer cell line",TPM
85,2,Lymphoid,MOLT-4,"Peripheral blood"," 11.4","Cancer cell line",TPM
86,2,Lymphoid,REH,"Peripheral blood"," 15.6","Cancer cell line",TPM
87,2,Lymphoid,RPMI-8226,"Peripheral blood"," 29.9","Cancer cell line",TPM
88,2,Lymphoid,U-266/70,"Peripheral blood"," 20.1","Cancer cell line",TPM
89,2,Lymphoid,U-266/84,"Peripheral blood"," 48.4","Cancer cell line",TPM
90,2,Lymphoid,U-698,Tonsil," 10.3","Cancer cell line",TPM
91,2,Lung,A549,Lung," 76.3","Cancer cell line",TPM
92,2,Lung,HBEC3-KT,"Central lung bronchiole"," 51.0","Telomerase immortalized cell line",TPM
93,2,Lung,SCLC-21H,"Pleural effusion"," 66.5","Cancer cell line",TPM
94,2,Abdominal,CACO-2,Colon," 37.9","Cancer cell line",TPM
95,2,Abdominal,CAPAN-2,Pancreas," 40.8","Cancer cell line",TPM
96,2,Abdominal,"Hep G2",Liver," 29.7","Cancer cell line",TPM
97,2,"Breast, female reproductive system",AN3-CA,"Lymph node "," 52.1","Cancer cell line",TPM
98,2,"Breast, female reproductive system",EFO-21,Ascites," 29.5","Cancer cell line",TPM
99,2,"Breast, female reproductive system",HeLa,Cervix," 32.4","Cancer cell line",TPM
100,2,"Breast, female reproductive system",hTERT-HME1,"Mammary gland"," 54.5","Telomerase immortalized cell line",TPM
101,2,"Breast, female reproductive system",MCF7,"Pleural effusion"," 38.1","Cancer cell line",TPM
102,2,"Breast, female reproductive system",SiHa,Cervix," 56.8","Cancer cell line",TPM
103,2,"Breast, female reproductive system",SK-BR-3,"Pleural effusion"," 70.6","Cancer cell line",TPM
104,2,"Breast, female reproductive system",T-47d,NA," 46.5","Cancer cell line",TPM
105,2,"Renal, urinary, male reproductive system","HEK 293","Embryonal kidney",107.5,"Transformed cell line",TPM
106,2,"Renal, urinary, male reproductive system",NTERA-2,," 63.4","Cancer cell line",TPM
107,2,"Renal, urinary, male reproductive system",PC-3,"Bone marrow",112.8,"Cancer cell line",TPM
108,2,"Renal, urinary, male reproductive system","RPTEC TERT1","Human kidney cortex"," 43.7","Telomerase immortalized cell line",TPM
109,2,"Renal, urinary, male reproductive system",RT4,"Urinary bladder"," 39.6","Cancer cell line",TPM
110,2,Sarcoma,"ASC diff","Adipose tissue"," 34.7",Uncategorised,TPM
111,2,Sarcoma,"ASC TERT1","Adipose tissue"," 37.7","Telomerase immortalized cell line",TPM
112,2,Sarcoma,LHCN-M2,NA," 44.1","Telomerase immortalized cell line",TPM
113,2,Sarcoma,RH-30,"Bone marrow "," 32.9","Cancer cell line",TPM
114,2,Sarcoma,"U-2 OS",Bone," 64.8","Cancer cell line",TPM
115,2,Sarcoma,U-2197,Subcutis," 32.1","Cancer cell line",TPM
116,2,Fibroblast,BJ,Foreskin," 52.7","Finite cell line",TPM
117,2,Fibroblast,"BJ hTERT+",Foreskin," 57.1","Telomerase immortalized cell line",TPM
118,2,Fibroblast,"BJ hTERT+ SV40 Large T+",Foreskin," 53.9",Uncategorised,TPM
119,2,Fibroblast,"BJ hTERT+ SV40 Large T+ RasG12V",Foreskin," 48.6",Uncategorised,TPM
120,2,Fibroblast,fHDF/TERT166,Foreskin," 55.2","Telomerase immortalized cell line",TPM
121,2,Fibroblast,"HBF TERT88",Brain," 32.8","Telomerase immortalized cell line",TPM
122,2,Endothelial,hTEC/SVTERT24-B,Thyroid," 62.9","Transformed cell line",TPM
123,2,Endothelial,"HUVEC TERT2","Umbilical vein"," 45.4","Telomerase immortalized cell line",TPM
124,2,Endothelial,TIME,Skin," 42.8","Telomerase immortalized cell line",TPM
125,2,Miscellaneous,BEWO,Brain," 41.4","Cancer cell line",TPM
126,2,Miscellaneous,HHSteC,Liver," 37.8",Uncategorised,TPM
127,2,Miscellaneous,HSkMC,"Trapezius and erector spinae muscles"," 48.3",Uncategorised,TPM
128,2,Miscellaneous,hTCEpi,Cornea," 46.6","Telomerase immortalized cell line",TPM
129,3,Brain,AF22,Skin,15.3,Uncategorised,TPM
130,3,Brain,SH-SY5Y,"Bone marrow",14.8,"Cancer cell line",TPM
131,3,Brain,"U-138 MG",Brain,12.3,"Cancer cell line",TPM
132,3,Brain,"U-251 MG",Brain,10.6,"Cancer cell line",TPM
133,3,Brain,"U-87 MG",Brain,10.8,"Cancer cell line",TPM
134,3,Skin,A-431,Skin," 7.6","Cancer cell line",TPM
135,3,Skin,HaCaT,Skin,13.6,"Spontaneously immortalized cell line",TPM
136,3,Skin,SK-MEL-30,Subcutis,12.1,"Cancer cell line",TPM
137,3,Skin,WM-115,Skin,11.1,"Cancer cell line",TPM
138,3,Myeloid,HAP1,Leukemia," 8.1","Cancer cell line",TPM
139,3,Myeloid,HEL,"Peripheral blood",10.6,"Cancer cell line",TPM
140,3,Myeloid,HL-60,"Peripheral blood",13.7,"Cancer cell line",TPM
141,3,Myeloid,HMC-1,"Peripheral blood",12.8,"Cancer cell line",TPM
142,3,Myeloid,K-562,"Pleural effusion",18.5,"Cancer cell line",TPM
143,3,Myeloid,NB-4,"Bone marrow"," 7.6","Cancer cell line",TPM
144,3,Myeloid,THP-1,"Peripheral blood"," 7.8","Cancer cell line",TPM
145,3,Myeloid,U-937,"Pleural effusion"," 7.5","Cancer cell line",TPM
146,3,Lymphoid,Daudi,"Orbital biopsy",12.4,"Cancer cell line",TPM
147,3,Lymphoid,HDLM-2,"Pleural effusion",14.1,"Cancer cell line",TPM
148,3,Lymphoid,Karpas-707,"Bone marrow and peripheral blood"," 8.4","Cancer cell line",TPM
149,3,Lymphoid,MOLT-4,"Peripheral blood",17.7,"Cancer cell line",TPM
150,3,Lymphoid,REH,"Peripheral blood",19.6,"Cancer cell line",TPM
151,3,Lymphoid,RPMI-8226,"Peripheral blood"," 6.7","Cancer cell line",TPM
152,3,Lymphoid,U-266/70,"Peripheral blood",10.1,"Cancer cell line",TPM
153,3,Lymphoid,U-266/84,"Peripheral blood"," 7.8","Cancer cell line",TPM
154,3,Lymphoid,U-698,Tonsil,12.5,"Cancer cell line",TPM
155,3,Lung,A549,Lung,20.8,"Cancer cell line",TPM
156,3,Lung,HBEC3-KT,"Central lung bronchiole",10.7,"Telomerase immortalized cell line",TPM
157,3,Lung,SCLC-21H,"Pleural effusion",14.7,"Cancer cell line",TPM
158,3,Abdominal,CACO-2,Colon,14.4,"Cancer cell line",TPM
159,3,Abdominal,CAPAN-2,Pancreas,13.0,"Cancer cell line",TPM
160,3,Abdominal,"Hep G2",Liver,15.2,"Cancer cell line",TPM
161,3,"Breast, female reproductive system",AN3-CA,"Lymph node ",15.6,"Cancer cell line",TPM
162,3,"Breast, female reproductive system",EFO-21,Ascites," 8.0","Cancer cell line",TPM
163,3,"Breast, female reproductive system",HeLa,Cervix," 9.6","Cancer cell line",TPM
164,3,"Breast, female reproductive system",hTERT-HME1,"Mammary gland",12.5,"Telomerase immortalized cell line",TPM
165,3,"Breast, female reproductive system",MCF7,"Pleural effusion",16.4,"Cancer cell line",TPM
166,3,"Breast, female reproductive system",SiHa,Cervix,15.5,"Cancer cell line",TPM
167,3,"Breast, female reproductive system",SK-BR-3,"Pleural effusion",12.4,"Cancer cell line",TPM
168,3,"Breast, female reproductive system",T-47d,NA,16.1,"Cancer cell line",TPM
169,3,"Renal, urinary, male reproductive system","HEK 293","Embryonal kidney",23.4,"Transformed cell line",TPM
170,3,"Renal, urinary, male reproductive system",NTERA-2,,26.0,"Cancer cell line",TPM
171,3,"Renal, urinary, male reproductive system",PC-3,"Bone marrow",11.5,"Cancer cell line",TPM
172,3,"Renal, urinary, male reproductive system","RPTEC TERT1","Human kidney cortex"," 9.9","Telomerase immortalized cell line",TPM
173,3,"Renal, urinary, male reproductive system",RT4,"Urinary bladder",12.3,"Cancer cell line",TPM
174,3,Sarcoma,"ASC diff","Adipose tissue",11.1,Uncategorised,TPM
175,3,Sarcoma,"ASC TERT1","Adipose tissue"," 8.4","Telomerase immortalized cell line",TPM
176,3,Sarcoma,LHCN-M2,NA," 8.5","Telomerase immortalized cell line",TPM
177,3,Sarcoma,RH-30,"Bone marrow ",20.6,"Cancer cell line",TPM
178,3,Sarcoma,"U-2 OS",Bone,11.6,"Cancer cell line",TPM
179,3,Sarcoma,U-2197,Subcutis,13.6,"Cancer cell line",TPM
180,3,Fibroblast,BJ,Foreskin," 7.1","Finite cell line",TPM
181,3,Fibroblast,"BJ hTERT+",Foreskin,13.1,"Telomerase immortalized cell line",TPM
182,3,Fibroblast,"BJ hTERT+ SV40 Large T+",Foreskin,12.6,Uncategorised,TPM
183,3,Fibroblast,"BJ hTERT+ SV40 Large T+ RasG12V",Foreskin,13.7,Uncategorised,TPM
184,3,Fibroblast,fHDF/TERT166,Foreskin,11.7,"Telomerase immortalized cell line",TPM
185,3,Fibroblast,"HBF TERT88",Brain," 9.7","Telomerase immortalized cell line",TPM
186,3,Endothelial,hTEC/SVTERT24-B,Thyroid," 8.6","Transformed cell line",TPM
187,3,Endothelial,"HUVEC TERT2","Umbilical vein",11.9,"Telomerase immortalized cell line",TPM
188,3,Endothelial,TIME,Skin,12.4,"Telomerase immortalized cell line",TPM
189,3,Miscellaneous,BEWO,Brain," 9.3","Cancer cell line",TPM
190,3,Miscellaneous,HHSteC,Liver," 8.8",Uncategorised,TPM
191,3,Miscellaneous,HSkMC,"Trapezius and erector spinae muscles",12.1,Uncategorised,TPM
192,3,Miscellaneous,hTCEpi,Cornea," 8.4","Telomerase immortalized cell line",TPM
193,4,Brain,AF22,Skin," 8.0",Uncategorised,TPM
194,4,Brain,SH-SY5Y,"Bone marrow",18.1,"Cancer cell line",TPM
195,4,Brain,"U-138 MG",Brain," 7.3","Cancer cell line",TPM
196,4,Brain,"U-251 MG",Brain," 9.6","Cancer cell line",TPM
197,4,Brain,"U-87 MG",Brain," 9.7","Cancer cell line",TPM
198,4,Skin,A-431,Skin," 4.2","Cancer cell line",TPM
199,4,Skin,HaCaT,Skin," 2.5","Spontaneously immortalized cell line",TPM
200,4,Skin,SK-MEL-30,Subcutis," 7.9","Cancer cell line",TPM
201,4,Skin,WM-115,Skin,11.9,"Cancer cell line",TPM
202,4,Myeloid,HAP1,Leukemia," 6.1","Cancer cell line",TPM
203,4,Myeloid,HEL,"Peripheral blood"," 8.3","Cancer cell line",TPM
204,4,Myeloid,HL-60,"Peripheral blood"," 3.8","Cancer cell line",TPM
205,4,Myeloid,HMC-1,"Peripheral blood"," 6.5","Cancer cell line",TPM
206,4,Myeloid,K-562,"Pleural effusion",10.0,"Cancer cell line",TPM
207,4,Myeloid,NB-4,"Bone marrow"," 3.5","Cancer cell line",TPM
208,4,Myeloid,THP-1,"Peripheral blood"," 6.0","Cancer cell line",TPM
209,4,Myeloid,U-937,"Pleural effusion"," 9.0","Cancer cell line",TPM
210,4,Lymphoid,Daudi,"Orbital biopsy"," 6.0","Cancer cell line",TPM
211,4,Lymphoid,HDLM-2,"Pleural effusion",13.3,"Cancer cell line",TPM
212,4,Lymphoid,Karpas-707,"Bone marrow and peripheral blood"," 5.0","Cancer cell line",TPM
213,4,Lymphoid,MOLT-4,"Peripheral blood"," 8.8","Cancer cell line",TPM
214,4,Lymphoid,REH,"Peripheral blood"," 7.5","Cancer cell line",TPM
215,4,Lymphoid,RPMI-8226,"Peripheral blood",14.0,"Cancer cell line",TPM
216,4,Lymphoid,U-266/70,"Peripheral blood"," 7.2","Cancer cell line",TPM
217,4,Lymphoid,U-266/84,"Peripheral blood",11.7,"Cancer cell line",TPM
218,4,Lymphoid,U-698,Tonsil," 7.9","Cancer cell line",TPM
219,4,Lung,A549,Lung,11.4,"Cancer cell line",TPM
220,4,Lung,HBEC3-KT,"Central lung bronchiole"," 8.7","Telomerase immortalized cell line",TPM
221,4,Lung,SCLC-21H,"Pleural effusion",14.1,"Cancer cell line",TPM
222,4,Abdominal,CACO-2,Colon," 3.1","Cancer cell line",TPM
223,4,Abdominal,CAPAN-2,Pancreas,15.0,"Cancer cell line",TPM
224,4,Abdominal,"Hep G2",Liver," 2.8","Cancer cell line",TPM
225,4,"Breast, female reproductive system",AN3-CA,"Lymph node ",21.3,"Cancer cell line",TPM
226,4,"Breast, female reproductive system",EFO-21,Ascites," 4.2","Cancer cell line",TPM
227,4,"Breast, female reproductive system",HeLa,Cervix," 8.0","Cancer cell line",TPM
228,4,"Breast, female reproductive system",hTERT-HME1,"Mammary gland"," 3.6","Telomerase immortalized cell line",TPM
229,4,"Breast, female reproductive system",MCF7,"Pleural effusion"," 7.3","Cancer cell line",TPM
230,4,"Breast, female reproductive system",SiHa,Cervix," 9.4","Cancer cell line",TPM
231,4,"Breast, female reproductive system",SK-BR-3,"Pleural effusion"," 3.7","Cancer cell line",TPM
232,4,"Breast, female reproductive system",T-47d,NA," 8.9","Cancer cell line",TPM
233,4,"Renal, urinary, male reproductive system","HEK 293","Embryonal kidney"," 3.9","Transformed cell line",TPM
234,4,"Renal, urinary, male reproductive system",NTERA-2,,11.7,"Cancer cell line",TPM
235,4,"Renal, urinary, male reproductive system",PC-3,"Bone marrow"," 7.6","Cancer cell line",TPM
236,4,"Renal, urinary, male reproductive system","RPTEC TERT1","Human kidney cortex"," 7.6","Telomerase immortalized cell line",TPM
237,4,"Renal, urinary, male reproductive system",RT4,"Urinary bladder"," 5.3","Cancer cell line",TPM
238,4,Sarcoma,"ASC diff","Adipose tissue"," 3.6",Uncategorised,TPM
239,4,Sarcoma,"ASC TERT1","Adipose tissue"," 7.0","Telomerase immortalized cell line",TPM
240,4,Sarcoma,LHCN-M2,NA,12.0,"Telomerase immortalized cell line",TPM
241,4,Sarcoma,RH-30,"Bone marrow ",11.1,"Cancer cell line",TPM
242,4,Sarcoma,"U-2 OS",Bone," 7.3","Cancer cell line",TPM
243,4,Sarcoma,U-2197,Subcutis," 3.5","Cancer cell line",TPM
244,4,Fibroblast,BJ,Foreskin," 4.6","Finite cell line",TPM
245,4,Fibroblast,"BJ hTERT+",Foreskin," 3.6","Telomerase immortalized cell line",TPM
246,4,Fibroblast,"BJ hTERT+ SV40 Large T+",Foreskin," 3.6",Uncategorised,TPM
247,4,Fibroblast,"BJ hTERT+ SV40 Large T+ RasG12V",Foreskin," 5.9",Uncategorised,TPM
248,4,Fibroblast,fHDF/TERT166,Foreskin," 6.8","Telomerase immortalized cell line",TPM
249,4,Fibroblast,"HBF TERT88",Brain," 5.0","Telomerase immortalized cell line",TPM
250,4,Endothelial,hTEC/SVTERT24-B,Thyroid," 5.7","Transformed cell line",TPM
251,4,Endothelial,"HUVEC TERT2","Umbilical vein"," 6.3","Telomerase immortalized cell line",TPM
252,4,Endothelial,TIME,Skin," 4.8","Telomerase immortalized cell line",TPM
253,4,Miscellaneous,BEWO,Brain,19.8,"Cancer cell line",TPM
254,4,Miscellaneous,HHSteC,Liver," 4.2",Uncategorised,TPM
255,4,Miscellaneous,HSkMC,"Trapezius and erector spinae muscles"," 6.7",Uncategorised,TPM
256,4,Miscellaneous,hTCEpi,Cornea," 5.9","Telomerase immortalized cell line",TPM
257,5,Brain,AF22,Skin," 35.3",Uncategorised,TPM
258,5,Brain,SH-SY5Y,"Bone marrow"," 49.5","Cancer cell line",TPM
259,5,Brain,"U-138 MG",Brain," 60.5","Cancer cell line",TPM
260,5,Brain,"U-251 MG",Brain," 49.5","Cancer cell line",TPM
261,5,Brain,"U-87 MG",Brain," 61.8","Cancer cell line",TPM
262,5,Skin,A-431,Skin," 54.7","Cancer cell line",TPM
263,5,Skin,HaCaT,Skin," 45.0","Spontaneously immortalized cell line",TPM
264,5,Skin,SK-MEL-30,Subcutis," 78.6","Cancer cell line",TPM
265,5,Skin,WM-115,Skin," 94.4","Cancer cell line",TPM
266,5,Myeloid,HAP1,Leukemia," 46.0","Cancer cell line",TPM
267,5,Myeloid,HEL,"Peripheral blood"," 41.2","Cancer cell line",TPM
268,5,Myeloid,HL-60,"Peripheral blood"," 31.4","Cancer cell line",TPM
269,5,Myeloid,HMC-1,"Peripheral blood"," 52.8","Cancer cell line",TPM
270,5,Myeloid,K-562,"Pleural effusion"," 39.2","Cancer cell line",TPM
271,5,Myeloid,NB-4,"Bone marrow"," 55.7","Cancer cell line",TPM
272,5,Myeloid,THP-1,"Peripheral blood"," 31.7","Cancer cell line",TPM
273,5,Myeloid,U-937,"Pleural effusion"," 35.7","Cancer cell line",TPM
274,5,Lymphoid,Daudi,"Orbital biopsy"," 33.4","Cancer cell line",TPM
275,5,Lymphoid,HDLM-2,"Pleural effusion"," 49.3","Cancer cell line",TPM
276,5,Lymphoid,Karpas-707,"Bone marrow and peripheral blood"," 58.8","Cancer cell line",TPM
277,5,Lymphoid,MOLT-4,"Peripheral blood"," 41.5","Cancer cell line",TPM
278,5,Lymphoid,REH,"Peripheral blood"," 33.2","Cancer cell line",TPM
279,5,Lymphoid,RPMI-8226,"Peripheral blood"," 44.9","Cancer cell line",TPM
280,5,Lymphoid,U-266/70,"Peripheral blood"," 39.5","Cancer cell line",TPM
281,5,Lymphoid,U-266/84,"Peripheral blood"," 48.4","Cancer cell line",TPM
282,5,Lymphoid,U-698,Tonsil," 32.1","Cancer cell line",TPM
283,5,Lung,A549,Lung,157.5,"Cancer cell line",TPM
284,5,Lung,HBEC3-KT,"Central lung bronchiole"," 49.7","Telomerase immortalized cell line",TPM
285,5,Lung,SCLC-21H,"Pleural effusion"," 40.8","Cancer cell line",TPM
286,5,Abdominal,CACO-2,Colon,167.7,"Cancer cell line",TPM
287,5,Abdominal,CAPAN-2,Pancreas," 62.6","Cancer cell line",TPM
288,5,Abdominal,"Hep G2",Liver," 85.2","Cancer cell line",TPM
289,5,"Breast, female reproductive system",AN3-CA,"Lymph node "," 45.4","Cancer cell line",TPM
290,5,"Breast, female reproductive system",EFO-21,Ascites," 63.9","Cancer cell line",TPM
291,5,"Breast, female reproductive system",HeLa,Cervix," 85.2","Cancer cell line",TPM
292,5,"Breast, female reproductive system",hTERT-HME1,"Mammary gland"," 51.0","Telomerase immortalized cell line",TPM
293,5,"Breast, female reproductive system",MCF7,"Pleural effusion",183.1,"Cancer cell line",TPM
294,5,"Breast, female reproductive system",SiHa,Cervix," 54.8","Cancer cell line",TPM
295,5,"Breast, female reproductive system",SK-BR-3,"Pleural effusion"," 56.1","Cancer cell line",TPM
296,5,"Breast, female reproductive system",T-47d,NA," 76.2","Cancer cell line",TPM
297,5,"Renal, urinary, male reproductive system","HEK 293","Embryonal kidney"," 42.8","Transformed cell line",TPM
298,5,"Renal, urinary, male reproductive system",NTERA-2,," 69.6","Cancer cell line",TPM
299,5,"Renal, urinary, male reproductive system",PC-3,"Bone marrow"," 69.0","Cancer cell line",TPM
300,5,"Renal, urinary, male reproductive system","RPTEC TERT1","Human kidney cortex"," 37.7","Telomerase immortalized cell line",TPM
301,5,"Renal, urinary, male reproductive system",RT4,"Urinary bladder"," 77.7","Cancer cell line",TPM
302,5,Sarcoma,"ASC diff","Adipose tissue"," 35.8",Uncategorised,TPM
303,5,Sarcoma,"ASC TERT1","Adipose tissue"," 28.3","Telomerase immortalized cell line",TPM
304,5,Sarcoma,LHCN-M2,NA," 42.4","Telomerase immortalized cell line",TPM
305,5,Sarcoma,RH-30,"Bone marrow "," 28.8","Cancer cell line",TPM
306,5,Sarcoma,"U-2 OS",Bone," 57.7","Cancer cell line",TPM
307,5,Sarcoma,U-2197,Subcutis," 54.0","Cancer cell line",TPM
308,5,Fibroblast,BJ,Foreskin," 63.9","Finite cell line",TPM
309,5,Fibroblast,"BJ hTERT+",Foreskin," 61.7","Telomerase immortalized cell line",TPM
310,5,Fibroblast,"BJ hTERT+ SV40 Large T+",Foreskin," 65.0",Uncategorised,TPM
311,5,Fibroblast,"BJ hTERT+ SV40 Large T+ RasG12V",Foreskin," 53.2",Uncategorised,TPM
312,5,Fibroblast,fHDF/TERT166,Foreskin," 70.7","Telomerase immortalized cell line",TPM
313,5,Fibroblast,"HBF TERT88",Brain," 45.9","Telomerase immortalized cell line",TPM
314,5,Endothelial,hTEC/SVTERT24-B,Thyroid," 93.8","Transformed cell line",TPM
315,5,Endothelial,"HUVEC TERT2","Umbilical vein"," 45.6","Telomerase immortalized cell line",TPM
316,5,Endothelial,TIME,Skin," 50.4","Telomerase immortalized cell line",TPM
317,5,Miscellaneous,BEWO,Brain," 50.9","Cancer cell line",TPM
318,5,Miscellaneous,HHSteC,Liver,113.6,Uncategorised,TPM
319,5,Miscellaneous,HSkMC,"Trapezius and erector spinae muscles"," 28.3",Uncategorised,TPM
320,5,Miscellaneous,hTCEpi,Cornea," 56.1","Telomerase immortalized cell line",TPM
